330159; Adamov
330258; Adamov zastávka
573501; Adršpach
744524; Albeø
330142; Albrechtice u Èeského Tìšína
343046; Amalín
349175; Anenská Studánka
550426; Antonínov
730051; Aš
730150; Aš mìsto
730259; Aš pøedmìstí
330357; Babice nad Svitavou
350322; Babice u Šternberka
747956; Babylon
563262; Bahno
543611; Bakov nad Jizerou
543710; Bakov nad Jizerou mìsto
755025; Balkova Lhota
348227; Bartoòov
563205; Bartoušov
563601; Bartoušov zastávka
330241; Baška
758201; Batelov
737924; Bavorov
559518; Bechov
754820; Bechynì
754721; Bechynì zastávka
754424; Bechyòská Smoleè
745059; Beèov nad Teplou
545590; Beèov u Mostu
564567; Beèváry
330456; Bedihoš
757328; Bednárec
757427; Bednáreèek
755751; Bìlá nad Radbuzou
755850; Bìlá nad Radbuzou zastávka
568980; Bìlá pod Bezdìzem
569087; Bìlá pod Bezdìzem mìsto
569186; Bìlá pod Bezdìzem zastávka
566307; Bìlá u Staré Paky
566604; Bìlá u Staré Paky zastávka
731620; Bìlèice
767541; Bìleè
345546; Bìlotín
553198; Bìlušice
745729; Benešov nad Lipou
562090; Benešov nad Plouènicí
551069; Benešov u Prahy
338723; Bernartice u Javorníka
573006; Bernartice u Trutnova
730747; Beroun
730846; Králùv Dvùr
730945; Králùv Dvùr-Popovice
760843; Beroun-Závodí
564013; Bìrunice
736959; Bìšiny
731828; Bezdìdovice
737551; Bezdìkov u Klatov
741454; Bezdìkov u Radnic
568899; Bezdìz
755157; Bezdruice
344853; Bezmìrov
538538; Bezpráví
754622; Beerovice
567305; Bílá Tøemešná
535401; Bílá Voda
549337; Bílek
548198; Bílina
548297; Bílina kyselka
547992; Bílina-Chudeøice
330647; Bílovec
330852; Bílovice nad Svitavou
575621; Bílı Kostel nad Nisou
548529; Bílı Potok pod Smrkem
342071; Biskupice u Jevíèka
347658; Biskupice u Luhaèovic
348052; Bítovèice
754358; Blahousty
738021; Blanice
330951; Blansko
331157; Blansko mìsto
330126; Blatec
747220; Blatná
371252; Blatnice pod svatım Antonínkem
746156; Blatnice u Nıøan
751867; Blatno u Jesenice
743823; Blaejov
331256; Blaovice
531707; Blešno
747659; Blíejov
570895; Blíevedly
338152; Blíkovice
739557; Blovice
330423; Bludov
330621; Bludov láznì
343327; Bludovice
336347;Bocanovice (Boconowice)
757757; Bochov
758250; Boè
537605; Bohdašín
330720; Bohdíkov
532796; Bohosudov
544296; Bohosudov zastávka
533109; Bohousová
751123; Bohumilice v Èechách
751024; Bohumilice v Èechách zastávka
341248; Bohumín
300244; Bohumín státní hranice
740423; Bohunice
330928; Bohuòovice
539106; Bohuslavice nad Metují
539403; Bohuslavice nad Metují zastávka
570804; Bohuslavice nad Úpou
331454; Bohuslavice nad Vláøí
331751; Bohuslavice u Kyjova
343145; Bohušov
559096; Bohušovice nad Ohøí
358457; Bohutice
330522; Bohutín
556167; Bojanovice
331850; Bojkovice
330050; Bojkovice mìsto
556068; Bojov
336040; Bolatice
540302; Bolehoš
560094; Boletice nad Labem
553966; Bolina
765750; Bor
767558; Bor zastávka
364059; Boraè
553503; Borek pod Troskami
756155; Borek u Tachova
733758; Borek u lutic
540500; Borohrádek
550731; Borová u Polièky
550038; Borová u Polièky zastávka
741629; Borovany
567008; Borovnice
567206; Borovnièka
753756; Borovy
760926; Boršov nad Vltavou
367755; Boøetice
332155; Boøí les
556233; Boøice
551994; Boøislav
332056; Boskovice
565465; Bošice
565663; Bošice zastávka
755322; Boejovice
332254; Boice u Znojma
740753; Boièany
571398; Boíkov
546465; Brandıs nad Labem
546663; Brandıs nad Labem zastávka
538439; Brandıs nad Orlicí
545467; Brandısek
755728; Branice
335844; Branka u Opavy
352757; Brankovice
332361; Branky na Moravì
331124; Branná
332551; Bransouze
331223; Brantice
768945; Bratkovice
571992; Brništì
332957; Brno hlavní nádraí
333856; Brno-Èernovice
333054; Brno-Horní Heršpice
333153; Brno-Královo Pole
333351; Brno-Lesná
333252; Brno-Øeèkovice
333658; Brno-Slatina
351726; Bròov
333955; Brno-idenice
749358; Brod nad Tichou
331421; Brodek u Pøerova
536102; Broumov
536508; Broumov-Olivìtín
547190; Brozánky
564690; Brtníky
334052; Brumov
334359; Brumov støed
342857; Brumovice
331629; Bruntál
748459; Bøasy
334250; Bøeclav
300558; Bøeclav státní hranice
339952; Bøest
754853; Bøetislav
542431; Bøevnice
348656; Bøezí
543413; Bøezina nad Jizerou
562199; Bøeziny u Dìèína
769349; Bøeznice
537191; Bøezno u Chomutova
559419; Bøezno u Mladé Boleslavi
549592; Bøezno u Postoloprt
334375; Bøezová nad Svitavou
537506; Bøezová u Broumova
334854; Bøeany
